ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
232,0.0,0.4,0.0,0.0,0.013,0.014,0.008,0.014,0.015,0.006,0.007,0.007,0.0,
233,0.0,0.4,0.0,0.0,0.013,0.014,0.006,0.006,0.008,0.006,0.007,0.008,0.0,
234,0.0,0.4,0.0,0.0,0.013,0.017,0.008,0.006,0.006,0.006,0.007,0.006,0.0,
235,0.0,0.4,0.0,0.0,0.016,0.017,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
236,1.0,0.4,1.0,1.0,0.341,0.358,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
237,1.0,0.4,1.0,1.0,0.553,0.534,0.012,0.013,0.012,0.012,1.0,1.0,0.0,
238,1.0,0.4,1.0,1.0,0.483,0.543,0.019,0.018,0.018,0.018,1.0,1.0,0.0,
239,1.0,0.4,1.0,0.0,0.563,0.544,0.016,0.022,0.016,0.018,0.009,0.007,0.0,
240,1.0,0.4,1.0,0.0,0.501,0.486,0.019,0.018,0.023,0.016,0.007,0.007,0.0,
241,1.0,0.4,1.0,0.0,0.446,0.433,0.017,0.018,0.015,0.016,0.007,0.007,0.0,
242,1.0,0.4,1.0,0.0,0.443,0.39,0.015,0.015,0.015,0.013,0.007,0.007,0.0,
243,0.3,0.4,0.0,1.0,0.041,0.014,0.015,0.016,0.015,0.006,1.0,1.0,0.0,
244,0.0,0.4,0.0,0.0,0.014,0.014,0.007,0.006,0.009,0.006,0.007,0.008,0.0,
245,0.0,0.4,0.0,0.0,0.014,0.014,0.006,0.006,0.006,0.006,0.007,0.008,0.0,
246,0.0,0.4,0.0,0.0,0.017,0.014,0.008,0.006,0.006,0.006,0.008,0.006,0.0,
247,1.0,0.4,1.0,0.0,0.435,0.368,0.008,0.008,0.006,0.006,0.006,0.006,0.0,
248,1.0,0.4,1.0,0.0,0.416,0.359,0.017,0.015,0.014,0.015,0.006,0.006,0.0,
249,1.0,0.4,1.0,0.0,0.415,0.358,0.014,0.016,0.014,0.012,0.007,0.007,0.0,
